PLAYER,TEAM,POSITION
Tyrese Maxey,PHI,G
Skylar Mays,ATL,G
Miles McBride,NYK,G
CJ McCollum,POR,G
T.J. McConnell,IND,G
Rodney McGruder,DET,G
JaQuori McLaughlin,DAL,G
Jordan McLaughlin,MIN,G
Ben McLemore,POR,G
De'Anthony Melton,MEM,G
Sam Merrill,MEM,G
Patty Mills,BKN,G
Shake Milton,PHI,G-F
Davion Mitchell,SAC,G
Donovan Mitchell,UTA,G
Malik Monk,LAL,G
Moses Moody,GSW,G
E'Twaun Moore,ORL,G
Ja Morant,MEM,G
Monte Morris,DEN,G
Mychal Mulder,ORL,G
Dejounte Murray,SAS,G
Jamal Murray,DEN,G
Svi Mykhailiuk,TOR,G-F
RJ Nembhard Jr.,CLE,G
Aaron Nesmith,BOS,G-F
Raul Neto,WAS,G
Daishen Nix,HOU,G
Jaylen Nowell,MIN,G
Frank Ntilikina,DAL,G
Kendrick Nunn,LAL,G
David Nwaba,HOU,G-F
Josh Okogie,MIN,G
Isaac Okoro,CLE,F-G
KZ Okpala,MIA,F-G
Victor Oladipo,MIA,G
Miye Oni,UTA,G-F
Kelly Oubre Jr.,CHA,F-G
Kevin Pangos,CLE,G
Chris Paul,PHX,G
Cameron Payne,PHX,G
Elfrid Payton,PHX,G
Gary Payton II,GSW,G
Jordan Poole,GSW,G
Kevin Porter Jr.,HOU,G-F
Norman Powell,POR,G
Jason Preston,LAC,G
Joshua Primo,SAS,G
Payton Pritchard,BOS,G
Immanuel Quickley,NYK,G
Jahmi'us Ramsey,SAC,G
Austin Reaves,LAL,G
Cam Reddish,ATL,F-G
Josh Richardson,BOS,G
Grant Riller,PHI,G
Austin Rivers,DEN,G
Justin Robinson,MIL,G
Rajon Rondo,LAL,G
Derrick Rose,NYK,G
Terrence Ross,ORL,G-F
Terry Rozier,CHA,G
Ricky Rubio,CLE,G
D'Angelo Russell,MIN,G
Tomas Satoransky,NOP,G
Dennis Schroder,BOS,G
Jay Scrubb,LAC,G
Wayne Selden,NYK,G
Collin Sexton,CLE,G
Landry Shamet,PHX,G
Ben Simmons,PHI,G-F
Anfernee Simons,POR,G
Marcus Smart,BOS,G
Ish Smith,CHA,G
Dennis Smith Jr.,POR,G
Tony Snell,POR,G
Jaden Springer,PHI,G
Max Strus,MIA,G-F
Jalen Suggs,ORL,G
Jayson Tatum,BOS,F-G
Garrett Temple,NOP,G-F
Brodric Thomas,BOS,G
Cam Thomas,BKN,G
Matt Thomas,CHI,G
Klay Thompson,GSW,G
Matisse Thybulle,PHI,G-F
Gary Trent Jr.,TOR,G-F
Denzel Valentine,CLE,G
Fred VanVleet,TOR,G
Devin Vassell,SAS,G-F
Gabe Vincent,MIA,G
Kemba Walker,NYK,G
Lonnie Walker IV,SAS,G-F
John Wall,HOU,G
Brad Wanamaker,IND,G
Duane Washington Jr.,IND,G
Yuta Watanabe,TOR,G-F
Paul Watson,OKC,G
Russell Westbrook,LAL,G
Coby White,CHI,G
Derrick White,SAS,G
Joe Wieskamp,SAS,G-F
Aaron Wiggins,OKC,G
Kenrich Williams,OKC,G-F
Lou Williams,ATL,G
Dylan Windler,CLE,G-F
Justise Winslow,LAC,F-G
Cassius Winston,WAS,G
Delon Wright,ATL,G
McKinley Wright IV,MIN,G
Trae Young,ATL,G
